站號|站名|海拔高度(M)|經度|緯度|城市|地址|資料起始日期|撤站日期|備註|原站號|新站號
C1N000|沙崙|25|120.3092|22.9358|臺南市|歸仁區沙崙里184號北沙崙農場|1992-05-01|2013-07-31|因儀器汰換，於2013-8-1更變為(C1N001)站。||C1N001
C1O820|左鎮|30|120.4042|23.0551|臺南市|左鎮區71301中正里7號(左鎮國民小學內)|1988-12-01|2013-03-08|||
C1O830|北寮|105|120.4945|23.0796|臺南市|南化區北寮里48-4號|1988-12-01|2013-03-11|因擴充為氣象站，於2013-4-18升級為(C0O830)站。||C0O830
C1O840|王爺宮|144|120.3992|23.2208|臺南市|六甲區王爺里9鄰王爺宮15號|1988-12-01|2013-08-14|因觀測條件不佳及擴充為氣象站，於2013-12-1升級為(C0O840)站。||C0O840
C1O860|大內|61|120.3614|23.1202|臺南市|大內區74201大內里63號(大內國民小學)|1988-12-01|2013-07-31|因擴充為氣象站，於2013-8-1升級為(C0O860)站。||C0O860
C1O920|楠西|150|120.4845|23.1833|臺南市|楠西區中興路107號(楠西國民中學內)|1988-12-01|2013-03-07|因儀器汰換，於2013-4-18更變為(C1O921)站。||C1O921
C1O950|和順|4|120.1448|23.0766|臺南市|安南區公學路6段589號(學東國民小學分校內)|1992-05-01|2013-07-31|因擴充為氣象站，於2013-8-1升級為(C0O950)站。||C0O950
C1O960|崎頂|80|120.3689|22.9596|臺南市|龍崎區中坑里5鄰13號|1992-05-01|2013-02-23|因擴充為氣象站，於2013-2-23升級為(C0O960)站，2013-4-18完成驗收。||C0O960
C1O970|虎頭埤|60|120.3478|23.0213|臺南市|新化區口埤18號(新化分場)|1992-05-01|2013-07-31|因擴充為氣象站，於2013-8-1升級為(C0O970)站。||C0O970
C1O980|新市|76|120.2987|23.0622|臺南市|新市區永就里53號(番子寮農場)|1992-05-01|2013-07-31|因擴充為氣象站，於2013-8-1升級為(C0O980)站。||C0O980
C1O990|媽祖廟|23|120.2934|22.9916|臺南市|歸仁區中正北路3段60號(保西國民小學內)|1992-05-01|2013-07-31|因擴充為氣象站，於2013-8-1升級為(C0O990)站。||C0O990
C1P9A0|三爺|35|120.2799|22.8371|高雄市|路竹區82108三爺里民權路7號(三埤國民小學)|1992-05-01|2013-10-01|原(C1R180)站因縣市代碼不符，於2008-2-25重新編碼為(C1P9A0)站。|C1R180|
C1R090|里港|42|120.4966|22.8002|屏東縣|里港鄉中和村中和路14-9號|1992-05-01|2013-06-20|||
C1R130|阿禮|1040|120.7436|22.7427|屏東縣|霧臺鄉(屏東事業區第46林班)由山地文化村開車約2小時需徒步轉波站前面|1992-05-01|2013-07-31|因擴充為氣象站，於2013-8-1升級為(C0R130)站。||C0R130
C1R140|瑪家|740|120.687|22.683|屏東縣|瑪家鄉瑪家村4鄰24號(後山)|1992-05-01|2013-07-31|因擴充為氣象站，於2013-8-1升級為(C0R140)站。||C0R140
C1R160|新圍|45|120.5308|22.7396|屏東縣|鹽埔鄉彭厝國民小學校園|1992-05-01|2013-08-12|於2013-12-1變更為(C0R160)站。||C0R160
C1R170|屏東|26|120.4941|22.6603|屏東縣|屏東市復興路245號(台灣糖業公司屏東區處場區內)|1992-05-01|2013-08-08|2013-12-1變更為(C0R170)站。||C0R170
C1R180|三爺|35|120.28|22.8366|高雄市|路竹區三爺里民權路7號(三埤國民小學)|1992-05-01|2008-02-24|原(C1R180)站因縣市代碼不符，於2008-2-25重新編碼為(C1P9A0)站。||C1P9A0
C1R190|赤山|48|120.6164|22.591|屏東縣|萬巒鄉東山路1號赤山農場(赤山段217號)|1992-05-01|2013-09-30|因觀測環境不佳，於2013-12-1遷移至(C0R190)站。||C0R190
C1R200|龍泉|61|120.6022|22.6671|屏東縣|內埔鄉龍泉村原勝路6號(崇文國民小學內)|1992-05-01|2013-07-31|因儀器汰換，於2013-8-1更變為(C1R201)站。||C1R201
C1R210|麟洛|54|120.5518|22.6573|屏東縣|麟洛鄉新田村信義路農場巷10號月縊寮溪農場(麟洛段1689號)|1992-05-01|2013-06-19|||
C1R230|南州|20|120.5165|22.4926|屏東縣|南州鄉溪北村永安路1號(南州糖廠內)|1992-05-01|2013-06-13|||
C1R240|來義|87|120.6251|22.5273|屏東縣|萬巒鄉新隆路64號萬隆農場(佳佐段180號)|1997-07-01|2013-09-24|因擴充為氣象站，於2013-12-1升級為(C0R240)站。||C0R240
C1R260|春日|76|120.6283|22.3704|屏東縣|春日鄉春日國民小學內|1997-07-01|2013-08-30|因擴充為氣象站，於2013-12-1升級為(C0R260)站。||C0R260
C1R310|壽卡|489|120.8589|22.2389|屏東縣|牡丹鄉(潮州事業區46林班地)電信轉播站後方|1997-07-01|2015-04-13|原(C1R310)站因縣市代碼不符，於2015-4-13重新編碼為(C1S880)站。||C1S880
C1S640|東河|65|121.3064|22.9718|臺東縣|東河鄉北東河17鄰26號(東河國民小學操場旁)|1997-07-01|2004-05-31|站因擴充為氣象站，於2004-6-1升級為(C0S810)站。||C0S810
C1S650|長濱|288|121.412|23.2868|臺東縣|長濱鄉竹湖村移民橋後方山頂三角點旁|1997-07-01|2004-05-31|因擴充為氣象站，於2004-6-1升級為(C0S830)站。||C0S830
C1T880|吳全城|27|121.5479|23.886928|花蓮縣|壽豐鄉平和村吳全10號(和平國小之吳全國小操場旁)|1996-01-01|2013-11-26|||
C1T900|西林|160|121.41785|23.806813|花蓮縣|萬榮鄉西林路8鄰114號(西林國民小學運動場旁)|1996-01-01|2010-06-30|因擴充為氣象站，於2010-7-1升級為(C0T900)站。||C0T900
C1U521|雙連埤|517|121.64125|24.75291|宜蘭縣|員山鄉雙連埤地區(需徒步20分鐘)|1996-01-01|2010-06-30|因擴充為氣象站，於2010-7-1升級為(C0U520)站。|C1U520|C0U520
C1U590|頭城|6|121.81464|24.851928|宜蘭縣|頭城鎮新建里新興路111號(頭城家商操場角落)|1996-01-01|2015-05-14|||
C1U620|壯圍|17|121.78957|24.743742|宜蘭縣|壯圍鄉壯五路40號(壯圍國民小學操場旁)|1996-01-01|2010-06-30|因擴充為氣象站，於2010-7-1升級為(C0U620)站。||C0U620
